"","arrest_date","charge_degree","days_since_compas_arrest","decile_score"
"1",0.93323,0.85,1,5
"2",0.93323,0.55,1,5
"3",0.94375,0.6,-384,5
"4",0.93853,0.9,1,7
"5",0.93853,0.6,1,7
"6",0.93506,0.9,272,10
"7",0.93536,0.85,261,10
"8",0.939,0.85,128,10
"9",0.9444,0.85,-70,10
"10",0.93506,0.85,272,10
"11",0.93536,0.85,261,10
"12",0.939,0.85,128,10
"13",0.9444,0.85,-70,10
"14",0.93506,0.85,272,10
"15",0.93506,0.85,272,10
"16",0.93506,0.6,272,10
"17",0.93506,0.6,272,10
"18",0.93506,0.55,272,10
"19",0.93536,0.85,261,10
"20",0.93536,0.85,261,10
"21",0.93536,0.6,261,10
"22",0.93536,0.6,261,10
"23",0.939,0.85,128,10
"24",0.939,0.6,128,10
"25",0.939,0.6,128,10
"26",0.9444,0.85,-70,10
"27",0.9444,0.85,-70,10
"28",0.9444,0.6,-70,10
"29",0.9444,0.6,-70,10
"30",0.93506,0,272,10
"31",0.93506,0,272,10
"32",0.93506,0,272,10
"33",0.93536,0.55,261,10
"34",0.9444,0.55,-70,10
"35",0.89356,0.85,1791,10
"36",0.89356,0.6,1791,10
"37",0.90206,0.85,1480,10
"38",0.90785,0.85,1268,10
"39",0.89731,0.9,1654,10
"40",0.89731,0.9,1654,10
"41",0.89731,0.6,1654,10
"42",0.87133,0.9,2605,10
"43",0.88531,0.9,2093,10
"44",0.89356,0.9,1791,10
"45",0.89731,0.9,1654,10
"46",0.90206,0.9,1480,10
"47",0.90785,0.9,1268,10
"48",0.90785,0.85,1268,10
"49",0.90206,0.85,1480,10
"50",0.89356,0.85,1791,10
"51",0.89731,0.85,1654,10
"52",0.87133,0.6,2605,10
"53",0.88531,0.6,2093,10
"54",0.87133,0.85,2605,10
"55",0.88531,0.85,2093,10
"56",0.90785,0.9,1268,10
"57",0.90785,0.85,1268,10
"58",0.90785,0.6,1268,10
"59",0.87928,0.85,2314,10
"60",0.88531,0.85,2093,10
"61",0.88258,0.85,2193,10
"62",0.88531,0.85,2093,10
"63",0.87928,0.85,2314,10
"64",0.87928,0.6,2314,10
"65",0.88531,0.6,2093,10
"66",0.91515,0.6,1001,10
"67",0.88441,0.55,2126,10
"68",0.88441,0.6,2126,10
"69",0.88545,0.9,2088,10
"70",0.89356,0.85,1791,10
"71",0.89731,0.85,1654,10
"72",0.90206,0.85,1480,10
"73",0.90785,0.85,1268,10
"74",0.88545,0.55,2088,10
"75",0.88452,0.55,2122,10
"76",0.88545,0.9,2088,10
"77",0.89356,0.9,1791,10
"78",0.89731,0.9,1654,10
"79",0.90206,0.9,1480,10
"80",0.90785,0.9,1268,10
"81",0.88545,0.6,2088,10
"82",0.88545,0.6,2088,10
"83",0.87928,0.85,2314,10
"84",0.87928,0.85,2314,10
"85",0.87928,0.6,2314,10
"86",0.89356,0.85,1791,10
"87",0.89731,0.85,1654,10
"88",0.90206,0.85,1480,10
"89",0.90785,0.85,1268,10
"90",0.88422,0.85,2133,10
"91",0.88258,0.6,2193,10
"92",0.939,0.4,128,10
"93",0.939,0.85,128,10
"94",0.94632,0.4,102,4
"95",0.94908,0.85,1,4
"96",0.9464,0.85,99,4
"97",0.90017,0.85,1791,4
"98",0.9523,0.85,-117,4
"99",0.91118,0.4,1388,4
"100",0.89996,0.55,1799,4
"101",0.91118,0.55,1388,4
"102",0.91118,0.6,1388,4
"103",0.91118,0.85,1388,4
"104",0.91389,0.85,1289,4
"105",0.89952,0.4,1815,4
"106",0.94061,0.4,311,4
"107",0.94383,0.6,193,4
"108",0.94383,0.6,193,4
"109",0.93241,0.85,611,4
"110",0.93241,0.55,611,4
"111",0.94536,0.55,137,4
"112",0.96088,0.55,-431,4
"113",0.93241,0.55,611,4
"114",0.93667,0.55,455,4
"115",0.9464,0.85,99,4
"116",0.91383,0.6,1291,4
"117",0.94189,0.6,264,4
"118",0.93992,0.6,0,9
"119",0.94779,0.9,-288,9
"120",0.94957,0.6,-353,9
"121",0.94779,0.6,-288,9
"122",0.94957,0.6,-353,9
"123",0.94779,0.6,-288,9
"124",0.94957,0.6,-353,9
"125",0.94779,1,-288,9
"126",0.94779,0.6,-288,9
"127",0.94779,0.6,-288,9
"128",0.94779,0.6,-288,9
"129",0.94277,0.6,-104,9
"130",0.91971,0.85,740,9
"131",0.92848,0.85,419,9
"132",0.91801,0.85,802,9
"133",0.91971,0.85,740,9
"134",0.92848,0.85,419,9
"135",0.93722,0.85,1,5
"136",0.94697,0.85,-356,5
"137",0.93722,0.85,1,5
"138",0.94697,0.85,-356,5
"139",0.93722,0.85,1,5
"140",0.93722,0.6,1,5
"141",0.94697,0.6,-356,5
"142",0.9317,0.85,203,5
"143",0.94533,0.85,-296,5
"144",0.94533,0.6,-296,5
"145",0.93992,0.85,-94,4
"146",0.94602,0.85,-317,4
"147",0.94902,0.85,-427,4
"148",0.93992,0.6,-94,4
"149",0.94602,0.6,-317,4
"150",0.94902,0.6,-427,4
"151",0.93992,0,-94,4
"152",0.93733,0.85,1,4
"153",0.93116,0.85,1,8
"154",0.93116,0.85,1,8
"155",0.93116,0.85,1,8
"156",0.93116,0.55,1,8
"157",0.93116,0,1,8
"158",0.94853,0.6,0,2
"159",0.95694,0.9,-687,5
"160",0.95694,0.9,-687,5
"161",0.95694,0.9,-687,5
"162",0.95927,0.9,-772,5
"163",0.95927,0.9,-772,5
"164",0.95927,0.85,-772,5
"165",0.95927,0.6,-772,5
"166",0.95927,0.6,-772,5
"167",0.95927,0.55,-772,5
"168",0.93782,0.55,13,5
"169",0.89684,0.6,1513,5
"170",0.89684,0.55,1513,5
"171",0.93949,0.9,1,1
"172",0.9329,1,1,1
"173",0.93864,0.85,-209,1
"174",0.939,0.85,-222,1
"175",0.94525,0.85,-451,1
"176",0.94779,0.6,1,2
"177",0.94779,0.6,1,2
"178",0.94779,0.6,1,2
"179",0.95072,0.6,-106,2
"180",0.94744,0.9,1,7
"181",0.94555,0.85,70,7
"182",0.79366,0.85,5299,3
"183",0.79366,0.6,5299,3
"184",0.93839,0.9,1,3
"185",0.93839,0.85,1,3
"186",0.93839,0.85,1,3
"187",0.87378,0.85,2366,3
"188",0.94405,0.85,-206,3
"189",0.94602,0.85,-278,3
"190",0.94405,0.85,-206,3
"191",0.94602,0.85,-278,3
"192",0.94405,0.55,-206,3
"193",0.94602,0.55,-278,3
"194",0.94405,0.55,-206,3
"195",0.94602,0.55,-278,3
"196",0.7244,0.35,7610,6
"197",0.7244,0.35,7610,6
"198",0.69421,1,8715,6
"199",0.71244,0.85,8048,6
"200",0.7244,0.55,7610,6
"201",0.83685,0.6,3494,6
"202",0.83685,0.85,3494,6
"203",0.77076,0.6,5913,6
"204",0.77442,0.6,5779,6
"205",0.75934,0.85,6331,6
"206",0.75934,0.6,6331,6
"207",0.86308,0.85,2534,6
"208",0.87791,0.85,1991,6
"209",0.85933,0.85,2671,6
"210",0.85933,0.6,2671,6
"211",0.85933,0.85,2671,6
"212",0.80412,0.85,4692,6
"213",0.82313,0.85,3996,6
"214",0.80412,0.6,4692,6
"215",0.93228,0.85,1,6
"216",0.93228,0.85,1,6
"217",0.93228,0.85,1,6
"218",0.93228,0.6,1,6
"219",0.93228,0.6,1,6
"220",0.74754,0.85,6763,6
"221",0.75765,0.85,6393,6
"222",0.76098,0.85,6271,6
"223",0.74281,0.85,6936,6
"224",0.74281,0.6,6936,6
"225",0.91378,1,992,2
"226",0.92031,1,753,2
"227",0.94039,1,18,2
"228",0.91378,1,992,2
"229",0.92031,1,753,2
"230",0.94039,1,18,2
"231",0.90826,0.9,935,5
"232",0.90826,0.9,935,5
"233",0.90826,0.9,935,5
"234",0.91184,0.9,804,5
"235",0.92402,0.9,358,5
"236",0.93381,0.9,0,5
"237",0.94129,0.9,-274,5
"238",0.90826,0.9,935,5
"239",0.91184,0.85,804,5
"240",0.92402,0.85,358,5
"241",0.93381,0.85,0,5
"242",0.94129,0.85,-274,5
"243",0.90654,0.6,998,5
"244",0.90654,0.6,998,5
"245",0.93381,0.85,0,5
"246",0.94129,0.85,-274,5
"247",0.94686,0.6,0,1
"248",0.93812,0.6,1,3
"249",0.89834,0.6,1457,3
"250",0.78849,0.55,5478,3
"251",0.85778,0.55,2942,3
"252",0.9061,0.4,1445,2
"253",0.94555,0.85,1,2
"254",0.94555,0.85,1,2
"255",0.90154,0.55,1087,2
"256",0.90154,0,1087,2
"257",0.93121,0.9,1,2
"258",0.93878,0.9,-276,2
"259",0.94591,0.9,-537,2
"260",0.9488,0.9,-643,2
"261",0.94894,0.9,-648,2
"262",0.95102,0.9,-724,2
"263",0.95164,0.9,-747,2
"264",0.95391,0.9,-830,2
"265",0.93121,0.85,1,2
"266",0.93878,0.85,-276,2
"267",0.94591,0.85,-537,2
"268",0.9488,0.85,-643,2
"269",0.94894,0.85,-648,2
"270",0.95102,0.85,-724,2
"271",0.95164,0.85,-747,2
"272",0.95391,0.85,-830,2
"273",0.95755,0.9,-963,2
"274",0.95755,0.85,-963,2
"275",0.934,0.55,-101,2
"276",0.93801,0.55,-248,2
"277",0.9488,0.6,-643,2
"278",0.94247,0.9,1,4
"279",0.94247,0.85,1,4
"280",0.8908,1,1892,4
"281",0.8908,0.85,1892,4
"282",0.8908,0.9,1892,4
"283",0.8908,0.85,1892,4
"284",0.8908,0.85,1892,4
"285",0.8908,0.6,1892,4
"286",0.8908,0.6,1892,4
"287",0.87469,0.85,2482,4
"288",0.87469,0.85,2482,4
"289",0.87469,0.85,2482,4
"290",0.8872,1,2024,4
"291",0.90209,0.6,1479,4
"292",0.90031,0.6,1544,4
"293",0.8872,1,2024,4
"294",0.81046,0.85,4833,4
"295",0.94282,0.6,-34,1
"296",0.94186,0.6,1,1
"297",0.94487,0.55,1,2
"298",0.94487,0.6,1,2
"299",0.94487,0.85,1,2
"300",0.94487,0.55,1,2
"301",0.94487,0.6,1,2
"302",0.94487,0.85,1,2
"303",0.94487,0.85,1,2
"304",0.94798,0.85,1,2
"305",0.94798,0.85,1,2
"306",0.7597,0.85,6414,5
"307",0.77806,0.6,5742,5
"308",0.7597,0.85,6414,5
"309",0.77806,0.85,5742,5
"310",0.7597,0.85,6414,5
"311",0.7597,0.85,6414,5
"312",0.77806,0.85,5742,5
"313",0.69716,0.85,8703,5
"314",0.69716,0.85,8703,5
"315",0.7597,0.85,6414,5
"316",0.7597,0.85,6414,5
"317",0.7597,0.85,6414,5
"318",0.7597,0.85,6414,5
"319",0.69716,0.85,8703,5
"320",0.70604,0.85,8378,5
"321",0.69716,0.85,8703,5
"322",0.91717,0.85,650,5
"323",0.939,0.85,-149,5
"324",0.91717,0.85,650,5
"325",0.939,0.85,-149,5
"326",0.94055,0.6,1,5
