"","custody_status","marital_status","screening_date","rec_supervision_level","rec_supervision_level_text","score_text","raw_score","decile_score","person_id"
"1","Jail Inmate","Single",0.93632,1,"Low","Low",-4.31,1,1
"2","Jail Inmate","Single",0.95009,1,"Low","Low",-2.75,2,2
"3","Jail Inmate","Single",0.93088,1,"Low","Low",-3.07,1,3
"4","Jail Inmate","Single",0.93299,1,"Low","Low",-2.26,3,4
"5","Jail Inmate","Single",0.9305,3,"Medium with Override Consideration","Medium",-1.59,6,5
"6","Pretrial Defendant","Married",0.93247,1,"Low","Low",-3.23,1,6
"7","Jail Inmate","Separated",0.93927,1,"Low","Low",-3.3,1,7
"8","Jail Inmate","Single",0.94148,2,"Medium","Low",-2.89,2,8
"9","Jail Inmate","Married",0.93676,1,"Low","Low",-2.44,3,9
"10","Jail Inmate","Single",0.94216,1,"Low","Low",-3.37,1,10
"11","Jail Inmate","Single",0.93951,4,"High","High",-0.83,9,11
"12","Pretrial Defendant","Married",0.94689,1,"Low","Low",-2.42,3,12
"13","Jail Inmate","Single",0.93856,1,"Low","Medium",-1.84,5,13
"14","Jail Inmate","Single",0.93916,1,"Low","Low",-2.12,4,14
"15","Jail Inmate","Single",0.93768,2,"Medium","Low",-2.06,4,15
"16","Jail Inmate","Married",0.93017,1,"Low","Low",-3.14,1,16
"17","Jail Inmate","Single",0.94591,1,"Low","Medium",-1.92,5,17
"18","Jail Inmate","Single",0.93785,1,"Low","Low",-2.85,2,18
"19","Pretrial Defendant","Single",0.93842,1,"Low","Low",-3.61,1,19
"20","Pretrial Defendant","Single",0.94432,1,"Low","Low",-2.82,2,20
"21","Jail Inmate","Unknown",0.94238,1,"Low","Low",-3.43,1,21
"22","Jail Inmate","Single",0.93987,4,"High","High",-0.84,9,22
"23","Jail Inmate","Single",0.93891,1,"Low","Low",-2.22,4,23
"24","Jail Inmate","Single",0.94883,1,"Low","Low",-2.7,2,24
"25","Jail Inmate","Separated",0.94345,2,"Medium","Low",-2.3,3,25
"26","Jail Inmate","Single",0.93309,4,"High","High",-0.63,9,26
"27","Jail Inmate","Single",0.94801,1,"Low","Low",-2.55,3,27
"28","Pretrial Defendant","Single",0.93905,1,"Low","Medium",-1.88,5,28
"29","Jail Inmate","Single",0.94801,2,"Medium","Medium",-1.56,6,29
"30","Jail Inmate","Single",0.93121,1,"Low","Medium",-1.8,5,30
"31","Pretrial Defendant","Single",0.94932,1,"Low","Low",-3.18,1,31
"32","Jail Inmate","Separated",0.93083,1,"Low","Low",-2.92,2,32
"33","Jail Inmate","Single",0.93372,1,"Low","Low",-2.2,4,33
"34","Jail Inmate","Separated",0.93408,3,"Medium with Override Consideration","Medium",-1.89,5,34
"35","Jail Inmate","Significant Other",0.94648,2,"Medium","Low",-2.21,4,35
"36","Jail Inmate","Significant Other",0.94659,2,"Medium","Low",-2.21,4,35
"37","Jail Inmate","Married",0.93187,1,"Low","Low",-3.61,1,36
"38","Jail Inmate","Single",0.93359,1,"Low","Low",-2.55,3,37
"39","Pretrial Defendant","Single",0.93225,1,"Low","Low",-3.11,1,38
"40","Jail Inmate","Single",0.93154,2,"Medium","Medium",-1.27,7,39
"41","Jail Inmate","Single",0.94823,3,"Medium with Override Consideration","Medium",-1.67,6,40
"42","Jail Inmate","Single",0.93091,4,"High","High",-0.43,10,41
"43","Jail Inmate","Single",0.93091,4,"High","High",-0.21,10,41
"44","Jail Inmate","Single",0.94883,3,"Medium with Override Consideration","Low",-2.3,3,42
"45","Jail Inmate","Single",0.94943,1,"Low","Low",-4.33,1,43
"46","Jail Inmate","Single",0.94899,1,"Low","Low",-2.54,3,44
"47","Jail Inmate","Single",0.94009,1,"Low","Low",-4.21,1,45
"48","Jail Inmate","Single",0.9317,3,"Medium with Override Consideration","Medium",-1.73,6,46
"49","Jail Inmate","Single",0.93722,4,"High","High",-1.1,8,47
"50","Jail Inmate","Single",0.94042,1,"Low","Low",-2.19,4,48
"51","Jail Inmate","Single",0.93069,1,"Low","Low",-2.59,2,49
"52","Jail Inmate","Single",0.93271,1,"Low","Low",-2.81,2,50
"53","Jail Inmate","Single",0.93285,4,"High","High",-1.18,8,51
"54","Pretrial Defendant","Single",0.93613,4,"High","High",-1.02,8,51
"55","Jail Inmate","Single",0.94834,4,"High","High",-1.16,8,51
"56","Jail Inmate","Single",0.93935,1,"Low","Low",-2.67,2,52
"57","Jail Inmate","Significant Other",0.93719,1,"Low","Low",-2.49,3,53
"58","Jail Inmate","Single",0.93044,3,"Medium with Override Consideration","Medium",-1.55,6,54
"59","Jail Inmate","Single",0.93058,1,"Low","Low",-2.62,2,55
