"","dob","in_custody","out_custody","decile_score"
"1",0.31507,0.93607,0.93629,1
"2",0.73303,0.9488,0.94886,8
"3",0.73806,0.94342,0.94345,3
"4",0.41173,0.93411,0.93413,1
"5",0.75066,0.93883,0.94544,9
"6",0.73724,0.93615,0.93667,9
"7",0.73137,0.9485,0.94853,3
"8",0.74792,0.9405,0.94126,3
"9",0.75697,0.94588,0.94591,7
"10",0.73112,0.93536,0.93555,8
"11",0.67135,0.94624,0.94624,2
"12",0.64269,0.93285,0.93288,1
"13",0.42198,0.93206,0.93206,2
"14",0.71255,0.94391,0.94391,5
"15",0.72276,0.94798,0.94861,8
"16",0.65744,0.93255,0.93255,5
"17",0.65556,0.93585,0.93632,2
"18",0.73424,0.94197,0.94225,7
"19",0.70069,0.93982,0.93984,4
"20",0.58663,0.944,0.94413,4
"21",0.74074,0.93055,0.93055,7
"22",0.61239,0.9479,0.94793,1
"23",0.73191,0.95752,0.95757,10
"24",0.41982,0.93727,0.9373,3
"25",0.74721,0.94326,0.94432,8
"26",0.66867,0.95205,0.95293,8
"27",0.66728,0.94889,0.94891,2
"28",0.7612,0.94777,0.94779,5
"29",0.72304,0.94113,0.94115,6
"30",0.74484,0.9499,0.95225,5
"31",0.73623,0.94165,0.94167,5
"32",0.74492,0.95181,0.95205,9
"33",0.69274,0.95044,0.95047,4
"34",0.45348,0.93774,0.93777,1
"35",0.57109,0.9473,0.94733,4
"36",0.70424,0.93599,0.9361,3
"37",0.73727,0.94856,0.94861,9
"38",0.39993,0.9452,0.94522,1
"39",0.72834,0.94216,0.94326,5
"40",0.6849,0.93066,0.93072,4
"41",0.67056,0.93228,0.9323,10
"42",0.48951,0.93326,0.93331,1
"43",0.41345,0.94539,0.94542,1
"44",0.72678,0.93643,0.93826,10
"45",0.75276,0.94547,0.94547,3
"46",0.36766,0.93785,0.93788,1
"47",0.39283,0.95061,0.95383,5
"48",0.28022,0.9367,0.93673,1
"49",0.7459,0.95623,0.95648,8
"50",0.65976,0.95506,0.95506,6
"51",0.72776,0.93711,0.93782,8
"52",0.38968,0.93706,0.93708,1
"53",0.76311,0.94288,0.9429,10
"54",0.44421,0.93143,0.93146,1
"55",0.43987,0.93954,0.93957,1
"56",0.73935,0.93039,0.93042,3
"57",0.74628,0.95563,0.95566,8
"58",0.74388,0.93323,0.93427,7
"59",0.38611,0.94074,0.94088,1
"60",0.67883,0.95558,0.95582,1
"61",0.7153,0.93214,0.93217,5
"62",0.5936,0.94864,0.94867,1
"63",0.50306,0.93894,0.94053,3
"64",0.64922,0.9382,0.93859,1
"65",0.70984,0.94457,0.94471,7
"66",0.74863,0.93236,0.93883,10
"67",0.53079,0.95121,0.95126,1
"68",0.40157,0.94856,0.94861,1
"69",0.73426,0.94667,0.94686,2
"70",0.54303,0.94919,0.94951,1
"71",0.75336,0.94063,0.94063,6
"72",0.63365,0.9494,0.94957,1
"73",0.47997,0.9317,0.93173,1
"74",0.67883,0.94823,0.94831,1
