"","id","sex","race","dob","juv_fel_count","juv_misd_count","juv_other_count","compas_screening_date","priors_count","days_b_screening_arrest","c_jail_in","c_jail_out","c_days_from_compas","c_offense_date","c_charge_degree","is_recid","num_r_cases","max_degree","min_degree","avg_degree","med_degree","charges_recid","charges_no_recid","charges_total","charge_latest","decile_recid","decile_violence","decile_fail_to_appear"
"1",1,"Male","Other",0.27451,0,0,0,0.93632,0,-3e-05,0.93629,0.93632,0,0.93629,0.85,0,0,0.85,0,0.18125,0,2,6,8,0.939,1,1,1
"2",3,"Male","African-American",0.62141,0,0,0,0.93088,0,-3e-05,0.93085,0.93113,0,0.93085,0.85,1,3,0.9,0.85,0.8625,0.85,3,1,4,0.93523,3,1,6
"3",4,"Male","African-American",0.71427,0,0,1,0.93299,4,-3e-05,0.93296,0.93299,0,0.93296,0.85,1,1,0.9,0,0.45833,0.6,17,19,36,0.96159,4,3,7
"4",5,"Male","African-American",0.73115,0,1,0,0.9305,1,0,0.9305,0.9305,0,0.93047,0.85,0,0,0.85,0,0.37143,0.55,2,5,7,0.94266,8,6,3
"5",6,"Male","Other",0.53161,0,0,0,0.93247,2,0,0.93247,0.93247,0,0.93039,0.85,0,0,0.85,0,0.575,0.725,0,4,4,0.92342,1,1,1
"6",7,"Male","Other",0.51743,0,0,0,0.93927,0,0,0.93927,0.9393,0,0.93927,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.93927,1,1,3
"7",8,"Male","Caucasian",0.54655,0,0,0,0.94148,14,-3e-05,0.94145,0.94162,0,0.94145,0.85,1,3,1,0,0.67353,0.85,7,27,34,0.96194,6,2,8
"8",9,"Male","Other",0.53254,0,0,0,0.93676,3,-3e-05,0.93673,0.93676,0,0.93673,0.85,0,0,0.9,0,0.27062,0,0,16,16,0.93656,4,3,3
"9",10,"Female","Caucasian",0.56516,0,0,0,0.94216,0,-3e-05,0.94214,0.94222,0,0.94214,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.94214,1,1,1
"10",11,"Male","Caucasian",0.75926,0,0,1,0.93951,0,-3e-05,0.93949,0.94039,0,0.93949,0.85,0,0,0.85,0,0.29,0,0,5,5,0.93949,10,9,2
"11",12,"Female","Caucasian",0.69375,0,0,0,0.94689,0,-3e-05,0.94686,0.94689,0,0.94686,0.85,0,0,0.85,0.85,0.85,0.85,0,2,2,0.94686,5,3,1
"12",13,"Male","Caucasian",0.74495,0,0,0,0.93856,1,0.01169,0.95025,0.95028,0,0.93014,0.9,1,2,0.9,0,0.38,0.275,5,5,10,0.95623,3,5,4
"13",14,"Male","Caucasian",0.68484,0,0,0,0.93916,0,-3e-05,0.93913,0.93916,0,0.93913,0.85,0,0,0.85,0,0.29,0,0,5,5,0.93913,4,4,1
"14",15,"Male","African-American",0.72689,0,0,0,0.93768,3,0,0.93768,0.93779,0,0.93768,0.6,1,1,0.6,0,0.38273,0.55,4,7,11,0.95656,6,4,5
"15",16,"Female","Caucasian",0.58729,0,0,0,0.93017,0,0,0.93017,0.9302,0,0.93017,0.6,0,0,0.6,0,0.3,0.3,0,2,2,0.93017,1,1,1
"16",17,"Male","Caucasian",0.7435,0,0,0,0.94591,0,0,0.94591,0.94591,0,0.94591,0.6,0,0,0.6,0,0.3,0.3,0,2,2,0.94591,3,5,1
"17",18,"Male","African-American",0.55016,0,0,0,0.93785,0,-3e-05,0.93782,0.93785,0,0.93782,0.85,0,0,0.9,0,0.53333,0.725,2,4,6,0.94342,4,2,2
"18",19,"Female","Caucasian",0.48563,0,0,0,0.93842,1,-0.00055,0.93788,0.93826,0,0.92504,0.85,1,2,0.85,0.6,0.76667,0.85,2,1,3,0.94432,1,1,5
"19",20,"Male","African-American",0.65304,0,0,0,0.94432,7,6e-04,0.94492,0.94501,0,0.94238,0.85,1,1,0.9,0,0.29063,0,1,31,32,0.94492,3,2,3
"20",21,"Male","Hispanic",0.59155,0,0,0,0.94238,0,0,0.94238,0.94238,0,0.94238,0.6,0,0,0.6,0,0.2,0,0,3,3,0.94238,1,1,1
