"","dob","in_custody","out_custody","decile_score"
"1",0.35499,0.66269,0.67206,10
"2",0.59728,0.95159,1,3
"3",0.42769,0.88253,0.89026,4
"4",0.61081,0.95509,0.95525,9
"5",0.57693,0.86917,0.8799,9
"6",0.68304,0.89425,0.90239,8
"7",0.52191,0.88012,0.88143,3
"8",0.4903,0.66662,0.67258,9
"9",0.43796,0.73303,0.73702,3
"10",0.54816,0.72115,0.72306,8
"11",0.71588,0.87643,0.91853,10
"12",0.47167,0.69561,0.73415,6
"13",0.62742,0.86939,0.93375,9
"14",0.35829,0.65386,0.66359,9
"15",0.72656,0.94782,0.95828,7
"16",0.42769,0.67943,0.70457,4
"17",0.52672,0.85674,0.8849,9
"18",0.417,0.73629,0.74601,9
"19",0.40023,0.79885,0.83464,6
"20",0.61977,0.91454,0.91588,8
"21",0.58032,0.947,0.95184,4
"22",0.59892,0.88619,0.8987,8
"23",0.58032,0.80568,0.81529,9
"24",0.45913,0.62384,0.65162,10
"25",0.32925,0.91487,0.91965,9
"26",0.71959,0.91397,0.92228,10
"27",0.68263,0.89255,0.91072,8
"28",0.31966,0.65504,0.6564,10
"29",0.39957,0.9069,0.91905,7
"30",0.44241,0.90058,0.9296,8
"31",0.47651,0.86387,0.86777,8
"32",0.5774,0.76841,0.77631,9
"33",0.33414,0.80054,0.84379,7
"34",0.611,0.87316,0.87857,7
"35",0.46795,0.70869,0.7264,5
"36",0.46954,0.67859,0.73864,6
"37",0.34677,0.95694,1,1
"38",0.42072,0.78961,0.79327,5
"39",0.62253,0.82119,0.83868,9
"40",0.43219,0.9019,0.91181,6
"41",0.55652,0.88318,0.88799,7
"42",0.28721,0.94839,1,1
"43",0.65649,0.90722,0.91348,9
"44",0.36097,0.70531,0.72498,8
"45",0.48956,0.64389,0.66531,10
"46",0.72659,0.95738,1,8
"47",0.57663,0.9535,1,6
"48",0.437,0.70525,0.72,6
"49",0.38182,0.95203,1,5
"50",0.59914,0.80702,0.84341,7
"51",0.58745,0.77109,0.7848,9
"52",0.65031,0.88217,0.88739,8
"53",0.43154,0.78713,0.79016,9
"54",0.49546,0.78959,0.80008,6
"55",0.40217,0.70301,0.70763,6
"56",0.64608,0.95847,1,7
"57",0.59983,0.86633,0.87335,9
"58",0.47877,0.75568,0.81043,8
"59",0.42449,0.67583,0.67973,10
"60",0.47681,0.81835,0.82619,8
"61",0.61922,0.95031,0.96268,5
"62",0.40113,0.75822,0.76751,8
"63",0.50953,0.93648,0.93954,6
"64",0.28,0.77303,0.78057,4
"65",0.58748,0.85966,0.86704,6
"66",0.33078,0.93676,0.93676,4
"67",0.65023,0.89466,0.90638,10
"68",0.38649,0.68523,0.69113,5
"69",0.65048,0.85884,0.92348,9
"70",0.47681,0.95484,1,8
"71",0.39974,0.72402,0.72651,6
"72",0.69782,0.94891,0.95421,7
"73",0.60409,0.85616,0.88373,8
"74",0.59078,0.91889,0.93495,9
"75",0.5536,0.88482,0.8863,9
"76",0.45039,0.67629,0.68154,10
"77",0.47681,0.69173,0.69733,8
"78",0.69555,0.93864,0.96091,7
"79",0.46285,0.79937,0.80458,5
"80",0.46749,0.85234,0.88791,9
"81",0.44992,0.88944,0.90304,8
